edist	mapq	min_size	count
100	0	0	759362
10	0	0	699969
5	0	0	624584
3	0	0	556668
1	0	0	454464
0	0	0	336125
100	1	0	447008
10	1	0	404433
5	1	0	354309
3	1	0	311759
1	1	0	248483
0	1	0	179681
100	10	0	411074
10	10	0	371833
5	10	0	326081
3	10	0	287174
1	10	0	229154
0	10	0	165886
100	20	0	397216
10	20	0	360930
5	20	0	317441
3	20	0	279982
1	20	0	223480
0	20	0	161812
100	30	0	370853
10	30	0	338373
5	30	0	298120
3	30	0	263157
1	30	0	210263
0	30	0	152246
100	40	0	350560
10	40	0	321799
5	40	0	284296
3	40	0	251222
1	40	0	200844
0	40	0	145478
100	0	1000	303675
10	0	1000	281910
5	0	1000	253839
3	0	1000	231126
1	0	1000	190299
0	0	1000	142454
100	1	1000	110683
10	1	1000	98467
5	1	1000	85218
3	1	1000	75522
1	1	1000	58952
0	1	1000	41990
100	10	1000	99421
10	10	1000	88365
5	10	1000	76540
3	10	1000	67876
1	10	1000	52991
0	10	1000	37724
100	20	1000	94066
10	20	1000	83973
5	20	1000	72931
3	20	1000	64723
1	20	1000	50463
0	20	1000	35881
100	30	1000	85592
10	30	1000	76743
5	30	1000	66768
3	30	1000	59245
1	30	1000	46165
0	30	1000	32788
100	40	1000	79319
10	40	1000	71620
5	40	1000	62505
3	40	1000	55506
1	40	1000	43209
0	40	1000	30639
100	0	2000	278865
10	0	2000	259147
5	0	2000	233584
3	0	2000	212886
1	0	2000	175542
0	0	2000	131564
100	1	2000	98261
10	1	2000	87467
5	1	2000	75792
3	1	2000	67257
1	1	2000	52618
0	1	2000	37547
100	10	2000	88035
10	10	2000	78292
5	10	2000	67903
3	10	2000	60299
1	10	2000	47173
0	10	2000	33640
100	20	2000	83308
10	20	2000	74429
5	20	2000	64736
3	20	2000	57538
1	20	2000	44957
0	20	2000	32019
100	30	2000	75683
10	30	2000	67920
5	30	2000	59190
3	30	2000	52617
1	30	2000	41083
0	30	2000	29233
100	40	2000	70172
10	40	2000	63428
5	40	2000	55451
3	40	2000	49340
1	40	2000	38503
0	40	2000	27358
100	0	5000	236865
10	0	5000	220385
5	0	5000	198773
3	0	5000	181238
1	0	5000	149592
0	0	5000	112096
100	1	5000	80442
10	1	5000	71714
5	1	5000	62143
3	1	5000	55111
1	1	5000	43135
0	1	5000	30734
100	10	5000	71805
10	10	5000	63966
5	10	5000	55487
3	10	5000	49257
1	10	5000	38566
0	10	5000	27477
100	20	5000	67941
10	20	5000	60808
5	20	5000	52909
3	20	5000	47014
1	20	5000	36769
0	20	5000	26157
100	30	5000	61615
10	30	5000	55404
5	30	5000	48317
3	30	5000	42941
1	30	5000	33589
0	30	5000	23872
100	40	5000	57023
10	40	5000	51644
5	40	5000	45188
3	40	5000	40197
1	40	5000	31425
0	40	5000	22302
100	0	10000	195721
10	0	10000	182142
5	0	10000	164268
3	0	10000	149822
1	0	10000	123560
0	0	10000	92749
100	1	10000	65659
10	1	10000	58539
5	1	10000	50739
3	1	10000	44974
1	1	10000	35114
0	1	10000	25055
100	10	10000	58464
10	10	10000	52080
5	10	10000	45194
3	10	10000	40105
1	10	10000	31315
0	10	10000	22338
100	20	10000	55364
10	20	10000	49553
5	20	10000	43139
3	20	10000	38307
1	20	10000	29863
0	20	10000	21266
100	30	10000	50152
10	30	10000	45122
5	30	10000	39386
3	30	10000	34984
1	30	10000	27265
0	30	10000	19413
100	40	10000	46455
10	40	10000	42088
5	40	10000	36877
3	40	10000	32802
1	40	10000	25568
0	40	10000	18160
100	0	20000	148729
10	0	20000	138423
5	0	20000	124825
3	0	20000	113827
1	0	20000	93793
0	0	20000	70307
100	1	20000	51216
10	1	20000	45787
5	1	20000	39752
3	1	20000	35282
1	1	20000	27570
0	1	20000	19663
100	10	20000	45167
10	10	20000	40359
5	10	20000	35087
3	10	20000	31177
1	10	20000	24342
0	10	20000	17356
100	20	20000	42636
10	20	20000	38273
5	20	20000	33386
3	20	20000	29681
1	20	20000	23132
0	20	20000	16470
100	30	20000	38394
10	30	20000	34658
5	30	20000	30309
3	30	20000	26952
1	30	20000	21013
0	30	20000	14954
100	40	20000	35435
10	40	20000	32193
5	40	20000	28254
3	40	20000	25162
1	40	20000	19617
0	40	20000	13920
100	0	50000	77391
10	0	50000	71578
5	0	50000	64121
3	0	50000	58204
1	0	50000	47462
0	0	50000	35190
100	1	50000	33143
10	1	50000	29763
5	1	50000	25975
3	1	50000	23109
1	1	50000	18050
0	1	50000	12852
100	10	50000	28703
10	10	50000	25745
5	10	50000	22480
3	10	50000	20000
1	10	50000	15614
0	10	50000	11106
100	20	50000	26857
10	20	50000	24210
5	20	50000	21216
3	20	50000	18893
1	20	50000	14707
0	20	50000	10433
100	30	50000	23796
10	30	50000	21585
5	30	50000	18962
3	30	50000	16887
1	30	50000	13176
0	30	50000	9348
100	40	50000	21717
10	40	50000	19809
5	40	50000	17465
3	40	50000	15579
1	40	50000	12145
0	40	50000	8584
